sample_id,Title,Body,Category
0,'Immortal' in tree resin,"An international team led by researchers at the University of Bonn now detected DNA from ambrosia beetles that were trapped in recent tree resin for less than seven years. The study was published in the journal Using so-called ancient DNA, scientists can draw conclusions about long gone times and the organisms living there. The use of organisms trapped in amber (fossil tree resin) with this finality was thought not to be possible after relatively recent fails in looking for DNA in a few thousand-year-old samples.""Our new results show that it is indeed possible to genetically study organisms that were embedded in resin, although we do not know the time limit yet"" emphasizes study leader Dr. David Peris of the Institute for Geosciences and Meteorology at the University of Bonn. The superordinate aim of the researchers is to dissolve step by step fundamental aspects of the DNA preservation in the resin and to determine the real temporal border, until when DNA in resins remains preserved.""Instead of looking for DNA in amber of 100 million years old or more, to dream about the resurrection of dinosaurs, we should start by detecting it in insects trapped a few years ago in resin,"" highlights David Peris. The resin samples used were six and two years old and came from Madagascar. To detect the DNA, the scientists established a method based on the technique called polymerase chain reaction, which makes it possible to multiply genetic material in a test tube. This method is well-known in criminology and recently became famous, as the basic technology for the detection of the SARS-CoV-2. ""This method allowed us to perform several authenticity checks, so that we could say certain that the detected DNA in our experiments was indeed from the beetles preserved in the resin,"" explains Kathrin Janssen of the Institute of Medical Microbiology, Immunology and Parasitology, also part of University of Bonn, the second lead author.The researchers found that water is stored in the embedded samples longer than previously thought, which has a negative effect on the stability of the DNA. In the future, the scientists plan to gradually analyze older samples with more sensitive ""next generation sequencing"" methods. ""Investigating the time limit of DNA conservation and many other related issues is the aim of future experiments,"" summarizes Kathrin Janssen.Besides the University of Bonn, the Universitat de Barcelona, the Instituto Geológico y Minero de España (both Spain), the Senckenberg Research Institute in Frankfurt am Main and the University of Bergen (Norway) were involved in the study.",Biotechnology
1,A fly's eye view of evolution,"Anyone who has seen hoverflies manoeuvring through the air and, quick as a flash, changing direction, has probably witnessed a mating attempt in which the male, with breath-taking accuracy, pursues a fast-moving female. To carry out this specialised visual task, the huge compound eyes of hoverflies consist of up to 6,000 individual facets. There are special individual facets directed towards the sky that show particularly high resolution. In contrast, bark beetles, which spend most of their time burrowing inside wood, rarely rely on visual information. Hence, they have developed very small eyes with a maximum of 300 facets. ""This enormous diversity is particularly impressive because previous comparative studies have shown that the development of insect eyes, and for that matter our own eyes as well, is controlled by very similar processes and genes,"" says Dr Nico Posnien from Göttingen University, the leader of the study. ""It is especially exciting to understand how, in the face of very similar genes, such a diversity of size and shape of eyes can arise."" Since many of the proteins coded by genes work together in regulatory networks to control the development of complex organs, the question arises whether similar differences in eye size are caused by changes at comparable sites within the networks. As a model for their study, the researchers used several species of the genus Drosophila, some of which we would recognise as the pesky fruit flies found in everyone's kitchen.A Drosophila species native to Mauritius has up to 250 facets more than a closely related species. Although the basic developmental processes are very similar in both studied species, numerous differences were found in their genomes that could explain the observed differences in eye size. Detailed analysis of eye development in both species suggests that changes in an important central node of the gene network lead to the formation of significantly larger eyes in the species native to Mauritius. ""Interestingly, in similar work on other Drosophila species, changes in completely different nodes have been observed. Therefore, our data show that differences in the number of facets can be caused by very different mechanisms,"" summarises the first author of the study, Dr Elisa Buchberger from the University of Göttingen.""The new data suggest that differences in the number of single eyes in different Drosophila species arose several times independently in evolution,"" says Dr Micael Reis. He is first author of a study published last year by the Göttingen research group. Overall, the work of the Göttingen group contributes to a better understanding of the evolution of complex organs. Some of the methods established in this research could also be applied to studies in animal and plant breeding, specifically looking for changes in the genome that influence complex traits, such as milk production or fruit size. ""In a next step, we would like to understand whether the different eye sizes have an influence on vision, and find out whether they are related to the lifestyle of the different fly species,"" says Posnien.",Environment
2,Domestic animals link virus spread among humans and wildlife,"However, the study has revealed the patterns of how viruses are shared between humans and wildlife species differs between the two major groups of RNA and DNA viruses.Dr Konstans Wells, who leads the Biodiversity and Health Ecology research group at Swansea University, said:""Bats are commonly recognised as host of viruses that may eventually spillover into humans with devastating health effects, but the role of other mammalian groups and especially domestic species for the spread of virus are much less clear.""""Many of the current and future viral threads are linked to viruses that circulate in different animal species, connecting humans and mammal species into a huge network of who shares viruses with whom.""Dr Wells and his colleagues traced the associations between 1,785 virus species and 725 mammalian host species from around the globe, according to published scientific evidence.The researchers used computer models to identify which mammalian species are the most central links in the networks of how humans and mammals are associated with the same virus species, representing possible pathways of virus spread and spillover. They then computed whether some virus species are less specialised than others, enabling them to spread among a more diverse range of host species and posing higher risk for future disease emergence.The findings provide strong evidence that beside humans, domestic animals comprise the central links in networks of mammalian host-virus interactions, because they share viruses with many other species and provide the pathways for future virus spread. They also carry the largest proportions of viruses known to be shared by humans and animals.At the same time, the study found patterns of DNA and RNA virus sharing among different mammalian groups to be rather different. The research suggests that bats and carnivores are most influential in spreading RNA viruses but play only a minor role in spreading DNA viruses among humans and mammalian species. Ungulates (hooved mammals), are of central importance for the spread of both RNA and DNA viruses.DNA and RNA refer to deoxyribonucleic acid and ribonucleic acid, respectively, the two crucial genetic structures encoding all living organisms. RNA viruses that cause diseases in humans and originate from animals include flu viruses, Ebola virus and the SARS virus.Dr Wells added: ""We found RNA viruses to have high potential to shift across mammalian species with very different life histories and habitats, enabling them to be shared by more host species. This means also more risk for humans in terms of unpredictable emergence of novel infectious diseases.""He said domesticated animals include species from different taxonomic and functional groups of animals and are not particularly distinguished from wildlife, pointing to the fact that frequent virus acquisition and dissemination is the most plausible explanation of why humans and domestic animals intensively share viruses with many wildlife species.""It's a matter of contact and interaction across borders,"" he said. ""Among the myriad of viruses and other pathogens present in different mammals across the globe, many of those that can jump and exploit novel host species benefit from humans and their companion animals leaving wildlife no longer alone -- pathogens that benefit from increasing and novel contact opportunities among host species are the winners of intensifying land use and globalization.""This research follows on from a previous study released earlier this year, which highlighted the need for a better understanding of the way harmful parasites can spread between animals and humans.",Agriculture & Food
3,San Andreas Fault in Santa Cruz Mountains:  Large earthquakes more frequent than previously thought,"The observations help fill a gap in data on the seismic activity of the SAF in northern California, particularly south of San Francisco.Geologists Thomas Fumal and Tim Dawson conducted paleoseismic studies at Mill Canyon, near Watsonville, California. They documented evidence for four earthquakes, the most recent being the 1906 M 7.8 San Francisco event. They conclude that each of the three earthquakes prior to the 1906 quake was a large magnitude event that likely ruptured most, or all, of the Santa Cruz Mountains segment, producing similar physical deformation as the 1906 quake.In addition to filling in a data gap about the SAF in this region, this research adds to the understanding of how the SAF behaves, in particular whether individual segments of the fault system can produce destructive earthquakes and how often. This study joins to a growing body of work that suggests the SAF produces a wider array of magnitudes than previously appreciated in the current seismic hazard models.",Earthquakes
4,Studying interactions between ground-nesting bees and soils,"Rebecca Lybrand and her team at Oregon State University are studying the interaction between the bees and soil in agricultural settings.According to the recently-published paper, bees contribute $15 billion to crop value annually. They pollinate about three-quarters of the fruits, vegetables, and nuts within the United States alone. Declines in honeybee colonies are a critical threat to agriculture and the global food supply.""Growers who are interested in attracting alternative pollinators, such as wild bees, face a major challenge,"" says Lybrand. ""There are not many studies about what habitats are best for these wild bees.""Pollinators are widely affected by human land use. Creating buildings, parking lots and other ""anthropogenic changes"" disrupt the natural habitats of animals and plants. Agricultural disturbance also affects bee communities. Interestingly, above-ground bee species are nine times more affected by agricultural intensification than ground-dwelling species.In some cases, growers have been able to build ""bee beds"" in their farm setting. In the 1950s, they started to design moist, salty soil areas to attract ground-nesting bees that helped increase alfalfa yields in Washington state.Lybrand's study looked at physical and chemical properties of soils collected from active bee and sand nest wasp sites in the Willamette Valley of western Oregon. They compared soil properties among seven farm sites to identify similarities and differences.The Willamette Valley has wet winters with warm, hot summers. The team first found agricultural sites that contained ground-nesting bees. They collaborated with farmers who observed ground-nesting bee activity around their fields.The nests are only identified by rather small holes (only 3-5mm). The team only collected data if they observed bees entering the nest. Nests and holes can remain even after the bees leave. At the study site, they specified the type of bee to the family level (i.e. ""bee"" versus ""genus"" and ""species."" ) But they also collected some bees to bring back to the lab for further identification.The data the team collected in the field included soil temperature, pH, and soil texture. They also collected soil samples to bring back to the lab for analysis.Findings from the study included that active nesting sites were present in locations with little to no rock cover and low vegetation. Nesting sites were found in areas with low organic matter coverage. The slope of the land didn't seem to have any influence, nor did a north/south-facing aspect.""One of our observations confirmed that active emergence holes remained open throughout the year,"" says Lybrand. ""They didn't swell shut during the wetter, cooler seasons -- despite having clay in the soils that might cause shrinking and swelling.""An interesting finding from the research is that the team found lipids in the soil nest linings. The lipids may provide a type of waterproofing for the nests and their inhabitants.""Because the large majority of wild bee species nest in the soil, studies about how to best attract them to farms are important,"" says Lybrand. ""Soil scientists and entomologists can partner with growers to identify soil habitats that support and attract more of these pollinators to agricultural lands. Improving our understanding of the connections between agriculture and the soils that bees, crops, and living organisms rely on to survive is important. Our research also provided a framework for studying ground-nesting organisms -- an area of soil science that is underrepresented.""Looking to the future, Lybrand says, ""future research should also integrate methods that identify bees and/or wasps to the species level. That would allow for interpretations of the results from an ecological point of view. Another question to follow up on could be the nature and purpose of the lipids found in the soil nest linings, to confirm their actual role.""",Agriculture & Food
5,Consequences of glacier shrinkage,"""In the wake of global glacier shrinkage caused by climate change, the danger from glacial lake outburst floods is seen as an increasingly pressing problem,"" explains Prof. Nüsser of the South Asia Institute. An event like this unleashes huge amounts of water. Flash floods, for example, can wreak havoc on villages, agricultural areas, and infrastructure. To find out more about such events, the Heidelberg researchers studied a glacial lake outburst flood in Ladakh that destroyed houses, fields, and bridges in the village of Gya in August of 2014. Studies of the glacial lake, which is situated at 5,300 m above sea level, revealed a drastic short-tem lake level rise prior to the GLOF.The cause, as the scientists discovered, was a ""previously little-known mechanism."" ""Increased glacial melting caused the lake level to rise quite rapidly. Instead of resulting in spillover, however, the thawing ice cores in the moraine, i.e. the glacier's debris field, drained through subsurface tunnels without disturbing the moraine's surface,"" states Nüsser. In addition to conducting field surveys, the scientists also interviewed the locals about their recollections of the GLOF event. On the basis of satellite images, the team additionally studied the evolution of the glacial lake since the 1960s in order to reconstruct possible GLOF events.""The high temporal and high spatial remote sensing imagery from satellites supported by field surveys will allow us to better assess the possible risk of future outbursts in this region,"" adds the Heidelberg geographer. In light of recurring GLOFs, the new inventory can help us ""re-evaluate the hazards, identify vulnerable locations, and develop possible adaptation measures,"" continues Nüsser. After the flood in Gya, for example, concrete walls were constructed along the undercut bank as a flood protection measure to safeguard the villages and fields from future floods.",Climate
6,A 40-year journey leads to a new truffle species,"He brought them back to Oregon State and showed them to his mentor James Trappe, who confirmed the collection was of an undescribed species. Trappe added it to the university's collection. Then it sat there.Almost four decades later, with the help of new scientific technologies, Trappe and several other scientists confirmed that the truffle is unique. They recently published their findings in the journal ""This truffle in 1981 was among the first truffles I ever found,"" Luoma said. ""To have it named in my honor the year I retired completes the circle for me. It's a wonderful way to celebrate retirement.""Some truffle species are highly prized for culinary purposes because of their distinct flavor. These species, which are black, white or brown, are hard to find and exist in limited geographic areas, meaning they command high prices.Oregon and the Pacific Northwest are home to several of those prized species, making the region one of the world's hot spots for truffle hunting. The species discovered by Luoma, though, is a red truffle, which doesn't have the distinct flavor sought by chefs and cooks.While the culinary use of truffles and the thrill of searching for them gets a lot of attention, they and other fungi are important for the health of forests. They provide nutrients to plants and can also help plants withstand drought.Luoma studied the ecology of truffles and fungi while earning his doctorate from Oregon State in 1988 and until earlier this year worked as a researcher at the university.Several graduate students who worked with him during his early years planned to name the truffle species he found on Orcas Island in honor of Luoma, but they graduated before doing so.Then about 10 years ago Trappe, now Luoma's colleague, searched the Oregon State truffle collections, the largest in the world with about 50,000 collections, looking for truffles similar to the one Luoma found on Orcas Island. Trappe found three.Joyce Eberhart, a truffle researcher at Oregon State and Luoma's wife, and Greg Bonito, an assistant professor at Michigan State University, studied the DNA of those three and determined they were the same species as the Orcas Island truffle.Those three were all found in Oregon -- one each in Benton (found in 1962), Clackamas (1995) and Jackson (2012) counties. While the Benton County specimen was found before Luoma dug up the Orcas Island one, it was never fully described until Trappe noticed the similarities between the two. Now the known distribution of the new species extends from southwestern Oregon to northwestern Washington.Carolina Piña Páez, a doctoral student at Oregon State who also does truffle research, provided the final piece by documenting the microscopic structures inside the truffle with photos, confirming that the spores and outer layers were that of a unique species.Trappe, who has studied truffles for more than 60 years and has discovered 230 new truffle species, still gets excited about a new species, such as this one named after Luoma.""Many dozens of professional and amateur mycologists have sought truffles in western Oregon for over 100 years, but only these four collections of Luoma's truffle have been found. Each of those seems to be quite local in distribution, indicating that it's a very rare fungus,"" Trappe said.",New Species
7,Key to harmonious pet relationships: Pheromones,"The new research, led by Professor Daniel Mills and Dr Miriam Prior, explored the effects of two different pheromone products on cat-dog interactions in homes where owners could see room for improvement in their pets' relationships.Their new scientific paper is now available to read online via the journal The results show that both products used -- Feliway Friends, which emits pheromones that are calming for cats, and Adaptil, which does the same for dogs -- both had a positive impact on the interactions between cats and dogs living in the same home.Over a six week period, both products led to a notable decrease in undesirable interactions -- such as dog chasing cat, cat hiding from dog, cat and dog staring at each other, and dog barking at cat. Users of Adaptil even observed a significant increase in some desirable behaviours -- friendly greetings between cat and dog, and time spent relaxing in the same room.""Although we are all aware of the perceived tensions between cats and dogs, we believe this is the first study of its kind to explore the use of pheromone products to improve the relationship when the two species are living in the same household,"" explained Professor Mills, Professor of Veterinary Behavioural Medicine in Lincoln's School of Life Sciences.""Seven per cent of households in the UK own both a cat and a dog, which represents a large number of pet owners and their animals living with potentially stressful animal relationships on a day-to-day basis. Many cat and dog owners report that their animals are comfortable in each other's' company, but where this isn't the case, a poor relationship between a resident cat and dog can have serious consequences for the welfare of individual animals. There may be an unacceptable level of social stress or restricted access to key resources such as food, water or suitable toilet areas. There will also be increased stress for the remainder of the family (both human and animal), and potential risks of injury due to conflict.""It has also been reported that a problematic relationship between a new pet and an existing pet is one of the main reasons for cats and dogs being taken to shelters for rehoming.The pet owners involved in this new scientific trial reported weekly on the frequency of 10 specific undesirable interactions and seven specific desirable interactions between their cats and dogs. They were split into two groups; one group using Feliway Friends and the other using Adaptil, with the pheromones supplied in unlabelled packaging and randomly assigned by an independent staff member such that neither the participants nor the researchers knew which product was being trialled in each household until after the statistics had been collected.The researchers were aware that in many households, the comfortability of the cat seems to have a stronger influence over the quality of the cat-dog relationship. It could therefore be seen as surprising that it was the product releasing dog pheromones which was seen to increase specific desirable interactions.Miriam, a Lincoln-based vet who undertook the work as part of her postgraduate degree in Clinical Animal Behaviour at the University of Lincoln, said: ""While it might be expected that Feliway Friends would be more effective in multi-species homes given the apparently stronger contribution of the cat's comfortability to the quality of the cat-dog relationship, this did not appear to be the case. Our results might be explained by the behaviour of the dog being the primary determinant of the cat's quality of interaction with it.""We would like to investigate this further to really tease out the effects of these pheromone products individually and also to investigate their use in combination with each other. We suggest that Adaptil may have had such a beneficial effect because a more relaxed dog may be less likely to disturb the cat (e.g. by chasing it), resulting in a cat that is less stressed and more willing to form some form of social bond with the dog.""",Animals
8,Where are the bees? Tracking down which flowers they pollinate,"The main risks to bees include wide-spread pesticide use in agriculture, parasites, disease and climate change, and crucially -- the loss of valuable biodiversity which poses a further threat to bees and other wild pollinators. One way to help boost their numbers is by planting the correct wildflowers, providing a better habitat for pollinators to disperse, nest and breed.However, it is unclear which plant species are the most preferred between different pollinators, including bees, and how this might change over time and in different environmental conditions. In agriculture, farmers want to know that the pollinators are actually visiting the plants they need them to. Historically, scientists used light microscopy to identify individual bee-collected pollen grains, which was a time-consuming and impractical method.To obtain a more accurate understanding without the need for laborious manual inspection of pollen, scientists have developed a rapid analysis method called 'Reverse Metagenomics' (RevMet) that can identify the plants that individual bees visit using the MinION, a portable DNA sequencer from Oxford Nanopore Technologies.The portability of the equipment involved means that this type of analysis could be performed on-site where bees are collected and sampled -- vastly increasing our understanding of where bees look for pollen on a national scale.Ned Peel, the PhD student who carried out the research in the Leggett Group at EI: ""Importantly, from a mixed sample of pollen, as well as being able to work out what species of plant bees have visited, we can also measure the relative quantities of each type of pollen. This type of analysis can be applied not only to conserving pollinators but to helping us to sustainably improve crop production that relies on pollinators.""Previous costly and inefficient manual methods to measure pollen and other genomics methods, such as metabarcoding, have been developed -- but these can't accurately measure how much of each different type of pollen is found in a sample.Ned goes on to explain the new genomics method further: ""In standard metagenomics, short stretches of DNA from mixed samples are compared to whole genomes, which can be expensive to generate. In collaboration with UEA's School of Biological Sciences, who performed the ecological side of the research -- collecting bees and plant samples -- we discovered that we could conduct the analysis using 'reference skims' instead.""To make a skim, we carry out really cheap sequencing that only partially covers the complete genome of the plants, but this is enough when compared with the long reads from the MinION to identify plants. In our work, we generated skims of 49 different wild UK plant species.""This technique can reliably differentiate species in a mixed sample according to the amount of DNA present of each. The results showed that honeybees, and two species of bumblebee, demonstrate a high preference for one plant species per foraging trip.""The reverse metagenomics pipeline can be applied to more questions than just what plants bees like to pollinate; we can also understand whether certain wildflowers compete with agricultural flowers for pollinators, or the behaviour of pollinators across large areas and land types.The method could also be used to study other mixed samples, such as herbivore dung, for diet analysis; and air, to identify airborne allergenic pollen and crop pathogens.",Agriculture & Food
9,NASA's Science Resources Help Agencies Respond To Katrina,"NASA, along with academic institutions and partner agencies, isworking to ensure the Department of Homeland Security and the FederalEmergency Management Agency have the best available information to aidin responding to this catastrophic event.NASA's partner agencies in this endeavor include the U.S. GeologicalSurvey, the National Oceanic and Atmospheric Administration, theNational Geospatial Intelligence Agency, the Environmental ProtectionAgency, and the U.S. Department of Agriculture.Coordinated assistance by numerous academic institutions andlaboratories working under NASA grants will be employed by the GulfCoast relief and recovery efforts to provide geospatial informationuseful to first responders and decision makers.NASA aircraft are providing detailed observations of the disasterarea. The aircraft are taking high-resolution observations that can beused to assess the amount of damage to communities and the environment.For example, at the request of the U.S. Geological Survey incooperation with the Federal Emergency Management Agency and the ArmyCorps of Engineers, NASA's Experimental Advanced Airborne ResearchLight Detection and Ranging system is surveying the gulf coastline.This system, carried on a Cessna 310, surveyed the northern gulfcoastline on Thursday. Tomorrow the aircraft is scheduled to fly overthe perimeter and surrounding levee around New Orleans to assist indamage assessment of the system.While making its observations of the land, the system has theability to ""see"" through vegetation, like trees and shrubs, to view theland underneath. Near the coast it can map the beach surface underwater. This will help in the recovery of the shoreline infrastructure;determine hazard areas and environmental loss.The Terra, Aqua and Tropical Rainfall Measuring Mission satelliteshave already provided Earth observations for land cover and rainfall.Terra's Advanced Spaceborne Thermal Emission and Reflection Radiometeris providing data on the magnitude and extent of damage and flooding tothe U.S. Geological Survey Emergency Response Team through its EarthResources Observation Systems Data Center in Sioux Falls, S.D. JPL isresponsible for the American side of the joint U.S.-Japan science teamthat is validating and calibrating that instrument and its dataproducts.NASA's Moderate Resolution Imaging Spectroradiometer instrument onthe Terra and Aqua satellites provided images of flooding, includingpre- and post-disaster comparisons. Data from NASA's QuikScatsatellite, developed and managed by JPL, was one source of windobservations used by the National Oceanic and AtmosphericAdministration’s Hurricane Research Division to analyze the wind fieldof the storm and to track its path.Another NASA satellite in use is the Earth Observing Mission 1. TheAdvanced Land Imagery multispectral instrument on this satelliteprovided land use and land cover observations useful in determininghurricane damage areas and in aiding in recovery, response andmitigation.NASA satellites are used to improve weather predictions and to studyclimate and natural hazards. The knowledge gained during these missionsaids assessment and recovery operations.For satellite images and additional information on the Web, visit: For information about the Advanced Spaceborne Thermal Emission andReflection Radiometer and QuikScat spacecraft on the Web, visit: For information about NASA and agency programs on the Web, visit: JPL is managed for NASA by the California Institute of Technology in Pasadena.",Hurricanes Cyclones
